Name,Price,Categories,Neighborhood,City,Rating
Select Oyster Bar,$$$,"American, New England, Seafood",Back Bay West,Boston,9.668362282878412
The Yardley Inn Restaurant and Bar,$$$,American,Wilburtha,Yardley,9.668362282878412
Gus & Gus Place,$,,,Rehoboth Beach,9.660173697270471
Chesapeake & Maine,$$,"Brewery, Seafood",,Rehoboth Beach,9.656079404466501
Landfall Restaurant,$$,Seafood,Woods Hole,Falmouth,9.651985111662531
Saltie Girl,$$$,"American, New England, Seafood",Back Bay,Boston,9.64789081885856
Salt Air,$$,Seafood,Spring Lake,Rehoboth Beach,9.64379652605459
Quinoa Peruvian & Mexican Restaurant,$$,Mexican,,Doylestown,9.63970223325062
Standard Tap,$$,"American, Beer",Northern Liberties,Philadelphia,9.63560794044665
Clinton St. Baking Company,$$,American,Lower East Side,New York,9.63560794044665
Tommy DiNic’s,$,Sandwiches,Center City,Philadelphia,9.62741935483871
Slate Bleu,None,,,Doylestown,9.62741935483871
John's Village Market,$,,,Wayne,9.61923076923077
The Bayside Skillet,$$,,,Ocean City,9.615136476426798
Isaac Newton's Bar & Restaurant,$$,,,Newtown,9.615136476426798
Engine No. 9,$$,"American, Beer, Burgers",The Edge District,St. Petersburg,9.606947890818859
Genevieve's Kitchen,None,,,Doylestown,9.602853598014889
Cielo Restaurant,$$$,,,Sanibel,9.598759305210919
Portabellos of Kennett Square,$$$,,,Kennett Square,9.594665012406947
Back Porch Café,$$$,,,Rehoboth Beach,9.590570719602978
The Brewster Fish House,$$$,Seafood,Brewster,Brewster,9.586476426799008
LMNO,None,Mexican,Fishtown,Philadelphia,9.582382133995036
Beiler's Donuts,None,"American, Breakfast, Dessert, Donuts",Center City East,Philadelphia,9.582382133995036
PIZZA Shackamaxon,$,Pizza,North Philadelphia,Philadelphia,9.574193548387097
Dutch Eating Place,$,"Breakfast, Eastern European",Center City,Philadelphia,9.574193548387097
Fishermen's View Seafood Market & Restaurant,$$,Seafood,,Sandwich,9.566004962779157
Bramble & Brine at the Buttery,None,,Lewes Historic District,Lewes,9.561910669975186
Cornerstone Bistro & Artisanal Market,$$,"Brunch, Market, Specialty Food",,Wayne,9.561910669975186
Beck's Cajun Cafe,$$,,Center City East,Philadelphia,9.553722084367246
Tony and Nick's Steaks,$$,"Burgers, Sandwiches",South Philadelphia East,Philadelphia,9.549627791563275
Seven Stars Inn,$$$,,,Phoenixville,9.545533498759305
il Granaio,$$,Italian,Wilmer,Phoenixville,9.545533498759305
Matt's Fish Camp Bethany,$$,,,Bethany Beach,9.545533498759305
Bluecoast Seafood Grill and Raw Bar,$$,Seafood,White Creek,Bethany Beach,9.533250620347395
Tompkins Square Bagels,$,Bagels,East Village,New York,9.529156327543424
Liquid Assets,$$,American,,Ocean City,9.525062034739454
Fins Fish House & Raw Bar,$$,,,Rehoboth Beach,9.520967741935484
Lumberville General Store,$$,,,Lumberville,9.520967741935484
The Chart Room,$$,,,Bar Harbor,9.512779156327543
Quahog's Seafood Shack and Bar,None,Seafood,Grassy Sound,Stone Harbor,9.508684863523573
Blue Moon,$$$,,,Rehoboth Beach,9.504590570719603
Kimberton Inn,$$$,,,Kimberton,9.504590570719603
Atlantic Fish Company,$$$,"American, Seafood",Back Bay,Boston,9.496401985111662
Maxwell's On Main,$$,,,Doylestown,9.492307692307692
Owen's Fish Camp,$$,Seafood,Burns Square,Sarasota,9.492307692307692
Crab & Fin Restaurant,$$$,Seafood,St. Armands,Sarasota,9.484119106699751
STK Steakhouse Downtown NYC,$$$$,"American, Steakhouse",Meatpacking District,New York,9.480024813895781
The Black Dog Cafe,$$,,Vineyard Haven,Tisbury,9.475930521091811
Montesano Bros Trattoria & Catering,$,,,Chester Springs,9.471836228287842
The Original Turkey,$,,Center City East,Philadelphia,9.471836228287842
Edmund's Oast Brewing Co.,$,"American, Brewery, Pizza",Wagener Terrace,Charleston,9.4636476426799
Leon's,$$,"American, Seafood, Southern",North-Central,Charleston,9.45955334987593
The Hattery Stove & Still,$$,American,,Doylestown,9.45955334987593
Talula's Garden,$$$,"American, Southern",Center City,Philadelphia,9.45136476426799
Kensington Quarters,$$,American,Fishtown,Philadelphia,9.45136476426799
75 Chestnut,$$,"American, Bar",Beacon Hill,Boston,9.44317617866005
Woods Hill Pier 4,None,American,Seaport District,Boston,9.43908188585608
Mezcali,None,Mexican,Financial District,New York,6.7
Magnolia Bakery,$$,"Bakery, Dessert",West Village,New York,6.7
Leroy’s,None,American,Greenpoint,New York,6.7
Temple Court,$$$$,American,Financial District,New York,6.687041884816754
Lure Fishbar,$$$,"American, Seafood, Sushi",SoHo,New York,6.687041884816754
Cacio e Pepe,$$,Italian,East Village,New York,6.687041884816754
El Gallo Taqueria,$,Taqueria,Little Italy,New York,6.6740837696335085
Bagel Shop,None,Bagels,Upper East Side,New York,6.66976439790576
Cross Keys Diner,$,Diner,,Doylestown,6.66976439790576
Villa Mosconi Restaurant,$$,Italian,South Village,New York,6.661125654450262
Daddies,None,Pizza,West Village,New York,6.656806282722513
Joe’s Pizza,$,Pizza,Financial District,New York,6.652486910994765
Little Italy Pizza & Trattoria,$,Pizza,Southwark,Philadelphia,6.652486910994765
Goldie,None,,Fishtown,Philadelphia,6.643848167539267
Joni's,$$,"Breakfast, Cafe, Sandwiches",,Montauk,6.639528795811518
Thanal Indian Tavern,$$,Indian,Logan Square,Philadelphia,6.63520942408377
Sumo Sushi and Japanese Fusion,$$,"Japanese, Sushi",Rose Garden,Allentown,6.63520942408377
Hong Kong Restaurant,$,,,Oley,6.626570680628272
Naked Farmer,None,Healthy,Central Arts District,St. Petersburg,6.622251308900524
Federal Donuts,$,Donuts,Queen Village,Philadelphia,6.622251308900524
Duck Donuts,$,Donuts,New Monmouth,New Jersey,6.613612565445027
Campo's Philly Cheesesteaks,$$,"American, Sandwiches",Center City East,Philadelphia,9.43498759305211
Strega Italiano Seaport,$$$,Italian,D Street / West Broadway,Boston,9.43498759305211
Trillium Brewing Company,$$,"American, Brewery",Fort Point,Boston,9.43498759305211
White Dog Cafe Wayne,$$$,American,,Wayne,9.43498759305211
Golden Pheasant Inn,None,,,Pennsylvania,9.418610421836227
Belle Isle Seafood,$$,Seafood,Harbor View / Orient Heights,Winthrop,9.414516129032258
Dewey Beer Co.,$$,,,Dewey Beach,9.414516129032258
Agave Mexican Restaurant,$$,Mexican,Lewes Historic District,Lewes,9.406327543424318
360 The Restaurant at the CN Tower,$$$$,Canadian,Entertainment District,Toronto,9.402233250620348
Striper Bites,$$,,,Lewes,9.402233250620348
Traders Restaurant on Sanibel,$$$,,,Sanibel,9.394044665012407
Bleu Rendez-Vous French Bistro,None,,,Sanibel,9.394044665012407
400 Rabbits,None,,,Sanibel,9.394044665012407
Cafe Mogador,$$,"Cafe, Mediterranean, Middle Eastern, Moroccan",Williamsburg,New York,9.381761786600496
Hot Chocolate Sparrow,$$,"Cafe, Coffee Shop",Orleans,Orleans,9.381761786600496
Radicchio Cafe,$$,Italian,Old City District,Philadelphia,9.373573200992556
Thirsty Whale Tavern,$$,,,Bar Harbor,9.373573200992556
K'Far Cafe,$$,"American, Mediterranean",Center City West,Philadelphia,9.365384615384615
Pumpkin BYOB,$$,"American, Mediterranean",Rittenhouse Square,Philadelphia,9.361290322580645
Big Fish Grill Rehoboth,$$,Seafood,Spring Lake,Rehoboth Beach,9.357196029776675
Blue Coast Seafood Grill & Raw Bar Rehoboth,$$,Seafood,Spring Lake,Rehoboth Beach,9.357196029776675
Matt's Fish Camp Fenwick,$$,,,Fenwick Island,9.349007444168734
Vault Brewing Company,$$,Brewery,,Yardley,9.344913151364764
The Lobster Pot,$$,Seafood,Provincetown Historic District,Provincetown,9.340818858560795
Agave,$$,,,Chadds Ford,9.336724565756825
Joe's Pizza,$,Pizza,South Village,New York,9.332630272952853
Other Half Brewing Company,None,Brewery,Carroll Gardens,New York,9.332630272952853
Tompkins Square Bagels,$,"Bagels, Delicatessen",East Village,New York,9.332630272952853
Penn Taproom,$$,,,Doylestown,9.320347394540942
Middle Child Clubhouse,None,American,Olde Kensington,Philadelphia,9.316253101736972
Milkcrate Cafe,$,,,Philadelphia,9.312158808933003
Spinnerstown Hotel Restaurant & Tap Room,$$,,,Quakertown,9.308064516129033
Hattie B's Hot Chicken - Nashville - Midtown,$$,"American, Southern",Midtown,Nashville,9.303970223325063
Abbey Burger Fells Point,$$,Burgers,Fells Point,Baltimore,9.303970223325063
Fanelli Cafe,$$,"American, Bar Food",SoHo,New York,9.295781637717122
Peg Leg Porker BBQ,$$,"American, Barbecue, Southern",The Gulch,Nashville,9.295781637717122
Dogfish Head Craft Brewery,$$,Brewery,,Milton,9.28759305210918
The Melting Pot,$$$,,,Bethlehem,9.28349875930521
Rocco's at The Brick,None,,,Newtown,9.28349875930521
Nantuckets Restaurant,$$$,,,Fenwick Island,9.275310173697271
Stella of New Hope,None,"American, Cocktail Bar, Dessert",Prallsville,New Hope,9.271215880893301
The Melting Pot,$$$,"American, Dessert, Diner, Fondue, French, Global",Ramblewood,Maple Shade,9.26712158808933
Parc,$$$,"Bistro, French",Rittenhouse Square,Philadelphia,9.26712158808933
Toro,$$$,"Spanish, Tapas",South End,Boston,9.25893300248139
Painter's Homemade Ice Cream,None,Ice Cream,,Murrells Inlet,9.25893300248139
Earl's New American,$$$,,,New Hope,9.250744416873449
The Melting Pot,$$$,Fondue,Abrahams,King of Prussia,9.250744416873449
Doc Ford's Rum Bar & Grille - Sanibel Island,$$,"Caribbean, Seafood",Butterknife,Sanibel,9.24255583126551
Stewman's Lobster Pound,$$,"Burgers, Seafood",Bar Harbor,Bar Harbor,9.24255583126551
The Lobster House,$$,"Bar, Seafood",Diamond Beach,Cape May,9.234367245657568
Federal House Bar & Grille,$$,Seafood,Naval Academy,Annapolis,9.230272952853598
Love & Honey Fried Chicken,$$,Fried Chicken,Northern Liberties,Philadelphia,9.226178660049628
The Dandelion,$$,"Bar Food, British",,Philadelphia,9.226178660049628
Cafe La Maude,$$,French,Northern Liberties,Philadelphia,9.217990074441687
Blackwall at the Beach,None,,,Rehoboth Beach,9.213895781637717
Torre Restaurant,$$,Mexican,Center Valley,Pennsylvania,9.213895781637717
Greenman Juice Bar & Bistro,$$,"Açaí Bowls, Breakfast, Cafe, Juice",,Rehoboth Beach,9.213895781637717
Agi's Counter,None,"Bakery, Eastern European",Crown Heights,New York,9.201612903225806
GATO,$$$,"Mediterranean, Spanish",NoHo,New York,9.201612903225806
Thrasher's French Fries,None,,,Rehoboth Beach,9.193424317617866
Egg,None,,Spring Lake,Rehoboth Beach,9.189330024813895
Mooo....Beacon Hill,$$$$,"American, Steakhouse",Beacon Hill,Boston,9.189330024813895
Delaney Oyster House,None,Seafood,Wraggborough,Charleston,9.181141439205955
Acqua e Farina,$$,,,Newtown,9.177047146401986
Island Cow Eatery,$$,Seafood,Island Woods,Sanibel,9.172952853598016
Dogfish Head Brewings & Eats,$$,Brewery,,Rehoboth Beach,9.168858560794044
Bennett's Fresh Roast,$,,,Fort Myers,9.168858560794044
Tree House Brewing Company - Sandwich,None,"Brewery, Sandwiches",Sandwich,Sandwich,9.168858560794044
Fractured Prune,$,,,Rehoboth Beach,9.168858560794044
Victoria's Restaurant,None,,,Rehoboth Beach,9.152481389578163
Fager's Island,$$,,North Ocean City,Ocean City,9.148387096774194
Moccia's Train Stop,$$,,,Schwenksville,9.144292803970224
Kawaii Tori Sushi,None,"Japanese, Sushi",,Yardley,9.140198511166254
Ludwig's Grill & Oyster Bar,$$,,,Glenmoore,9.136104218362282
Triumph Brewing Company of New Hope,$$,Brewery,,New Hope,9.132009925558313
Trophy Fish,None,Seafood,Grand Central District,St. Petersburg,9.127915632754343
Brooklyn Brewery,$$,Brewery,Williamsburg,New York,9.123821339950371
Plumsteadville Inn,$$,,,Plumsteadville,9.123821339950371
The Cull House Restaurant,$$,,,Sayville,9.115632754342432
Theo's Steaks Sides & Spirits,$$$,,,Saint Michaels,9.111538461538462
La Stalla,$$$,,,Newtown,9.107444168734492
1776 Steakhouse,$$$,Steakhouse,,Rehoboth Beach,9.10334987593052
Las Bugambilias,$$,,Old City District,Philadelphia,9.099255583126551
John's Roast Pork,$,"American, Sandwiches",South Philadelphia,Philadelphia,9.095161290322581
Cheu Fishtown & nunu,$$,Asian Fusion,Fishtown,Philadelphia,9.095161290322581
Eden,$$,,,Rehoboth Beach,9.095161290322581
The Shrimp Boat Restaurant and Seafood Market,$$,"Sandwiches, Seafood",Cape Isle of Wight,Ocean City,9.08287841191067
Honey's Sit 'n Eat,$$,"American, Diner",Northern Liberties,Philadelphia,9.0787841191067
Tio Mexican Restaurant Phoenixville,$$,Mexican,,Phoenixville,9.07468982630273
Black Lab Bistro,$$,,,Phoenixville,9.07468982630273
Keg & Kitchen,$$,,Westmont,Haddon Township,9.06650124069479
Duval's Fresh. Local. Seafood.,$$,Seafood,Main Street Merchants,Sarasota,9.06240694789082
Phillippi Creek Oyster Bar,$$,,,Sarasota,9.06240694789082
Legendairy Milkshake Bar,$$,Dessert,The District,Nashville,9.054218362282878
Yocco's The Hot Dog King,None,,,Emmaus,9.054218362282878
Coquette,None,French,Seaport District,Boston,9.046029776674938
Melt,$$$,Italian,Center Valley,Pennsylvania,9.046029776674938
La Collina,$$$,Italian,Roxborough-Manayunk,Bala Cynwyd,9.046029776674938
Bing Bing Dim Sum,$$,Dim Sum,East Passyunk Crossing,Philadelphia,9.033746898263027
Mr Shrimp,$$,,,Belmar,9.033746898263027
Terrain Cafe,None,"Gluten Free, Vegan, Vegetarian",,Devon,9.025558312655086
Tosco's Italian Delight,$$,"Delicatessen, Italian",,Red Hill,9.021464019851116
The British Chip Shop,$$,,,Haddonfield,9.021464019851116
China Wok,$,Chinese,,Norristown,9.013275434243177
Yocco's The Hot Dog King,$,,,Trexlertown,9.013275434243177
Chilmark General Store,None,,Menemsha,Chilmark,9.005086848635235
Nicola Pizza,$,Pizza,,Rehoboth Beach,9.000992555831266
Pretty Bird Coffee Roasters,None,Coffee Shop,,Yardley,8.996898263027296
Deuxave,$$$$,"American, French",Back Bay West,Boston,8.996898263027296
